,t
172,2.25757981754723
173,2.25590844626559
174,2.25424334907334
175,2.25258449893052
176,2.25093186924959
177,2.24928543110524
178,2.24764515516913
179,2.2460110111537
180,2.24438296755255
181,2.24276099174213
182,2.24114505096147
183,2.23953511436257
184,2.23793114771325
185,2.23633311391725
186,2.23474097571082
187,2.23315469800387
188,2.23157424634067
189,2.22999958625253
190,2.22843068422758
191,2.22686750687872
192,2.22531002092503
193,2.22375819279808
194,2.22221198817394
195,2.22067137435815
196,2.21913632013153
197,2.21760679598714
198,2.21608277567545
199,2.21456423653969
200,2.2130511564695
201,2.21154351256082
202,2.21004128393892
203,2.20854445380268
204,2.20705300662373
205,2.20556692595812
206,2.20408619460281
207,2.20261079512061
208,2.20114071208565
209,2.19967593142847
210,2.19821644157937
211,2.19676223213249
212,2.1953132926247
213,2.19386961460655
214,2.19243119057455
215,2.19099801225578
216,2.18957007430501
217,2.18814737492056
218,2.186729912767
219,2.18531768680896
220,2.18391069614388
221,2.18250894149293
222,2.1811124257758
223,2.17972115654376
224,2.17833514429534
225,2.17695439923712
226,2.17557893198866
227,2.1742087539696
228,2.1728438759837
229,2.17148430823813
230,2.17013006273733
231,2.16878115762464
232,2.16743761252101
233,2.16609944667134
234,2.16476668207568
235,2.16343934223031
236,2.16211745266846
237,2.16080104117305
238,2.1594901369908
239,2.15818477017986
240,2.15688497086097
241,2.15559076886542
242,2.1543021968405
243,2.15301929026391
244,2.15174208543576
245,2.15047061959152
246,2.14920493122616
247,2.14794505892064
248,2.14669104149274
249,2.14544291955
250,2.14420073290815
251,2.14296452103329
252,2.14173432406069
253,2.14051018449799
254,2.13929214596263
255,2.13808025229825
256,2.13687454919166
257,2.13567508446907
258,2.13448190581834
259,2.13329506357226
260,2.13211460781029
261,2.13094058714459
262,2.12977305204617
263,2.12861205581613
264,2.1274576526589
265,2.12630989631658
266,2.12516883836784
267,2.12403453089582
268,2.12290702638038
269,2.121786377227
270,2.12067263480597
271,2.11956584969844
272,2.11846607393502
273,2.11737336072396
274,2.11628776195112
275,2.11520932844611
276,2.11413810968634
277,2.11307415404038
278,2.11201750812585
279,2.11096821662449
280,2.1099263246571
281,2.10889187829593
282,2.10786492473432
283,2.10684551206091
284,2.10583368687387
285,2.10482949685756
286,2.10383299058126
287,2.10284421769606
288,2.10186322905516
289,2.10089007783837
290,2.0999248202182
291,2.09896751525087
292,2.09801822239189
293,2.09707700096942
294,2.09614391079971
295,2.09521901287874
296,2.09430236965152
297,2.09339404367723
298,2.09249409828582
299,2.09160259768885
300,2.09071960701743
301,2.08984519317614
302,2.0889794229238
303,2.08812236446205
304,2.08727408682688
305,2.08643466098752
306,2.08560415637603
307,2.0847826433824
308,2.08397019102295
309,2.08316686823301
310,2.08237274315392
311,2.08158788174665
312,2.08081234724295
313,2.08004619868038
314,2.07928949338821
315,2.07854228634394
316,2.07780463073425
317,2.07707657835161
318,2.07635817898426
319,2.07564948265312
320,2.07495053976072
321,2.07426140239214
322,2.07358212569489
323,2.07291276651986
324,2.07225338257579
325,2.07160403263696
326,2.0709647768159
327,2.07033567806545
328,2.06971680213984
329,2.06910821567244
330,2.06850998470683
331,2.06792217506576
332,2.067344851252
333,2.06677807748682
334,2.06622191679979
335,2.06567643137685
336,2.06514168418502
337,2.06461774087714
338,2.06410466785455
339,2.06360253211927
340,2.06311140245456
341,2.06263135039149
342,2.06216244853159
343,2.06170476980191
344,2.06125838834527
345,2.06082337868342
346,2.06039981555176
347,2.05998777382409
348,2.059587327766
349,2.05919855017974
350,2.05882151275149
351,2.05845628600942
352,2.05810293929095
353,2.05776154247992
354,2.0574321654439
355,2.05711487768465
356,2.05680974820118
357,2.05651684750758
358,2.05623624765386
359,2.05596802072014
360,2.05571223708065
361,2.0554689657926
362,2.05523827452438
363,2.05502022910568
364,2.05481489465062
365,2.05462233576708
366,2.05444261689303
367,2.05427580241729
368,2.05412195696966
369,2.05398114524178
370,2.05385343090413
