,t
532,2.34
533,2.34
534,2.35
535,2.36
536,2.37
537,2.36
538,2.36
539,1.88
540,2.34
541,2.29
542,2.21
543,2.33
544,2.35
545,2.35
546,2.35
547,2.35
548,2.34
549,2.35
550,2.35
551,2.35
552,2.35
553,2.36
554,2.37
555,2.37
556,2.37
557,2.37
558,2.36
559,2.38
560,2.39
561,2.39
562,2.39
563,2.38
564,2.32
565,2.36
566,2.36
567,2.36
568,2.36
569,2.36
570,2.36
571,2.35
572,2.35
573,2.36
574,2.34
575,2.32
576,2.29
577,2.26
578,2.22
579,2.22
580,2.21
581,2.19
582,2.17
583,2.17
584,2.16
585,2.15
586,2.15
587,2.14
588,2.14
589,2.15
590,2.17
591,2.17
592,2.0
593,2.01
594,2.01
595,2.04
596,2.07
597,2.12
598,2.14
599,2.13
600,2.1
601,2.1
602,2.08
603,2.06
604,2.05
605,2.04
606,2.05
607,2.07
608,2.05
609,2.05
610,2.05
611,2.06
612,2.07
613,2.08
614,2.11
615,2.15
616,2.21
617,2.23
618,2.25
619,2.27
620,2.29
621,2.3
622,2.29
623,2.21
624,2.28
625,2.28
626,2.27
627,2.27
628,2.28
629,2.28
630,2.28
631,2.29
632,1.73
633,2.32
634,2.33
635,2.33
636,2.33
637,2.34
638,2.35
639,2.38
640,2.39
641,2.42
642,2.44
643,2.46
644,2.46
645,2.46
646,2.45
647,2.44
648,2.43
649,2.42
650,2.42
651,2.42
652,2.42
653,2.42
654,2.43
655,2.44
656,2.45
657,2.47
658,2.41
659,2.5
660,2.53
661,2.49
662,2.56
663,2.58
664,2.61
665,2.62
666,2.64
667,2.65
668,2.67
669,2.68
670,2.7
671,2.7
672,2.7
673,2.7
674,2.71
675,2.73
676,2.73
677,2.74
678,2.75
679,2.75
680,2.76
681,2.77
682,2.77
683,2.54
684,2.78
685,2.74
686,2.8
687,2.81
688,2.82
689,2.79
690,2.83
691,2.84
692,2.84
693,2.84
694,2.84
695,2.85
696,2.88
697,2.88
698,2.88
699,2.88
700,2.88
701,2.9
702,2.9
703,2.9
704,2.91
705,2.92
706,2.91
707,2.9
708,2.9
709,2.9
710,2.85
711,3.04
712,3.06
713,3.12
714,3.11
715,3.1
716,3.09
717,3.08
718,3.06
719,3.04
720,3.01
721,3.0
722,3.0
723,3.0
724,2.99
725,2.99
726,2.98
727,2.97
728,2.97
729,2.98
730,3.02
731,3.06
732,3.1
733,3.12
734,3.1
735,3.17
736,3.19
737,3.19
738,3.2
739,3.18
740,3.18
741,3.2
742,3.2
743,3.2
744,3.15
745,3.14
746,3.14
747,3.14
748,3.13
749,3.16
750,3.19
751,3.21
752,3.23
753,3.26
754,3.29
755,3.3
756,3.32
757,3.34
758,3.36
759,3.4
760,3.42
761,3.4
762,3.35
763,3.32
764,3.28
765,3.24
766,3.22
767,3.15
768,2.99
769,2.93
770,2.89
771,2.84
772,2.8
773,2.77
774,2.75
775,2.73
776,2.73
777,2.72
778,2.72
779,2.71
780,2.71
781,2.72
782,2.72
783,2.71
784,2.71
785,2.71
786,2.71
787,2.64
788,2.6
789,2.56
790,2.51
791,2.48
792,2.45
793,2.42
794,2.4
795,2.39
796,2.39
797,2.39
798,2.39
799,2.4
800,2.39
801,2.39
802,2.39
803,2.39
804,2.4
805,2.39
806,2.39
807,2.39
808,2.4
809,2.42
810,2.43
811,2.43
812,2.43
813,2.43
814,2.42
815,2.42
816,2.41
817,2.42
818,2.42
819,2.41
820,2.42
821,2.42
822,2.44
823,2.45
824,2.46
825,2.47
826,2.48
827,2.39
828,2.48
829,2.46
830,2.47
831,2.46
832,2.53
833,2.57
834,2.59
835,2.62
836,2.64
837,2.61
838,2.65
839,2.65
840,2.64
841,2.61
842,2.6
843,2.61
844,2.63
845,2.65
846,2.67
847,2.67
848,2.69
849,2.71
850,2.73
851,2.74
852,2.71
853,2.72
854,2.73
855,2.71
856,2.78
857,2.75
858,2.76
859,2.82
860,2.83
861,2.84
862,2.85
863,2.95
864,2.94
865,2.94
866,2.92
867,2.91
868,2.91
869,2.88
870,2.87
871,2.86
872,2.84
873,2.85
874,2.86
875,2.85
876,2.86
877,2.87
878,2.88
879,2.81
880,2.89
881,2.9
882,2.88
883,2.9
884,2.9
885,2.87
886,2.83
887,2.81
888,2.81
889,2.8
890,2.8
891,2.8
892,2.79
893,2.79
894,2.78
895,2.77
896,2.73
897,2.67
898,2.6
899,2.53
900,2.57
901,2.57
902,2.53
903,2.59
904,2.62
905,2.64
906,2.35
907,2.64
908,2.65
909,2.65
910,2.65
911,2.62
912,2.56
913,2.51
914,2.49
915,2.47
916,2.48
917,2.5
918,2.51
919,2.5
920,2.49
921,2.5
922,2.51
923,2.5
924,2.57
925,2.58
926,2.59
927,2.57
928,2.64
929,2.66
930,2.67
931,2.7
932,2.68
933,2.65
934,2.57
935,2.51
936,2.45
937,2.41
938,2.36
939,2.32
940,2.28
941,2.26
942,2.24
943,2.23
944,2.23
945,2.22
946,2.22
947,2.21
948,2.21
949,2.22
950,2.23
951,2.26
952,2.29
953,2.33
954,2.35
955,2.38
956,2.37
957,2.36
958,2.34
959,2.33
960,2.32
961,2.32
962,2.32
963,2.32
964,2.32
965,2.31
966,2.32
967,2.31
968,2.31
969,2.32
970,2.32
971,2.32
972,2.32
973,2.34
974,2.36
975,2.38
976,2.4
977,2.41
978,2.42
979,2.43
